algo,universe,env,seed,time
crossq,dm_control,acrobot_swingup,0,441
crossq,dm_control,cheetah_run,0,441
crossq,dm_control,dog_trot,0,946
crossq,dm_control,dog_run,0,959
crossq,dm_control,dog_walk,0,956
crossq,dm_control,dog_stand,0,930
crossq,dm_control,fish_swim,0,475
crossq,dm_control,hopper_hop,0,434
crossq,dm_control,humanoid_run,0,554
crossq,dm_control,humanoid_stand,0,557
crossq,dm_control,humanoid_walk,0,550
crossq,dm_control,pendulum_swingup,0,413
crossq,dm_control,quadruped_run,0,499
crossq,dm_control,walker_run,0,436
crossq,dm_control,finger_turn_hard,0,412
crossq,dm_control,acrobot_swingup,1,425
crossq,dm_control,cheetah_run,1,425
crossq,dm_control,dog_trot,1,934
crossq,dm_control,dog_run,1,947
crossq,dm_control,dog_walk,1,931
crossq,dm_control,dog_stand,1,932
crossq,dm_control,fish_swim,1,452
crossq,dm_control,hopper_hop,1,434
crossq,dm_control,humanoid_run,1,535
crossq,dm_control,humanoid_stand,1,541
crossq,dm_control,humanoid_walk,1,537
crossq,dm_control,pendulum_swingup,1,406
crossq,dm_control,quadruped_run,1,474
crossq,dm_control,walker_run,1,413
crossq,dm_control,finger_turn_hard,1,386
crossq,metaworld,push-v2,0,709
crossq,metaworld,sweep-v2,0,695
crossq,metaworld,stick-pull-v2,0,717
crossq,metaworld,hand-insert-v2,0,697
crossq,metaworld,assembly-v2,0,674
crossq,metaworld,reach-v2,0,651
crossq,metaworld,coffee-push-v2,0,710
crossq,metaworld,coffee-pull-v2,0,710
crossq,metaworld,basketball-v2,0,667
crossq,metaworld,hammer-v2,0,674
crossq,metaworld,push-back-v2,0,665
crossq,metaworld,pick-place-wall-v2,0,641
crossq,metaworld,lever-pull-v2,0,592
crossq,metaworld,disassemble-v2,0,606
crossq,metaworld,button-press-v2,0,601
crossq,metaworld,push-v2,1,579
crossq,metaworld,sweep-v2,1,572
crossq,metaworld,stick-pull-v2,1,589
crossq,metaworld,hand-insert-v2,1,578
crossq,metaworld,assembly-v2,1,559
crossq,metaworld,reach-v2,1,538
crossq,metaworld,coffee-push-v2,1,588
crossq,metaworld,coffee-pull-v2,1,584
crossq,metaworld,basketball-v2,1,552
crossq,metaworld,hammer-v2,1,559
crossq,metaworld,push-back-v2,1,581
crossq,metaworld,pick-place-wall-v2,1,579
crossq,metaworld,lever-pull-v2,1,541
crossq,metaworld,disassemble-v2,1,559
crossq,metaworld,button-press-v2,1,550
crossq,myo,myo-reach,0,634
crossq,myo,myo-reach-hard,0,632
crossq,myo,myo-pose,0,617
crossq,myo,myo-pose-hard,0,638
crossq,myo,myo-obj-hold,0,637
crossq,myo,myo-obj-hold-hard,0,639
crossq,myo,myo-key-turn,0,654
crossq,myo,myo-key-turn-hard,0,649
crossq,myo,myo-pen-twirl,0,587
crossq,myo,myo-pen-twirl-hard,0,587
crossq,myo,myo-reach,1,542
crossq,myo,myo-reach-hard,1,539
crossq,myo,myo-pose,1,515
crossq,myo,myo-pose-hard,1,537
crossq,myo,myo-obj-hold,1,533
crossq,myo,myo-obj-hold-hard,1,543
crossq,myo,myo-key-turn,1,553
crossq,myo,myo-key-turn-hard,1,547
crossq,myo,myo-pen-twirl,1,491
crossq,myo,myo-pen-twirl-hard,1,491
sr_sac,dm_control,acrobot-swingup,0,2208
sr_sac,dm_control,cheetah-run,0,2614
sr_sac,dm_control,dog-trot,0,3353
sr_sac,dm_control,dog-run,0,3358
sr_sac,dm_control,dog-walk,0,3383
sr_sac,dm_control,dog-stand,0,3362
sr_sac,dm_control,fish-swim,0,2644
sr_sac,dm_control,hopper-hop,0,2503
sr_sac,dm_control,humanoid-run,0,3189
sr_sac,dm_control,humanoid-stand,0,3174
sr_sac,dm_control,humanoid-walk,0,3192
sr_sac,dm_control,pendulum-swingup,0,2084
sr_sac,dm_control,quadruped-run,0,2899
sr_sac,dm_control,walker-run,0,2656
sr_sac,dm_control,finger-turn_hard,0,2417
sr_sac,dm_control,acrobot-swingup,1,2180
sr_sac,dm_control,cheetah-run,1,2615
sr_sac,dm_control,dog-trot,1,3434
sr_sac,dm_control,dog-run,1,3428
sr_sac,dm_control,dog-walk,1,3470
sr_sac,dm_control,dog-stand,1,3467
sr_sac,dm_control,fish-swim,1,2659
sr_sac,dm_control,hopper-hop,1,2430
sr_sac,dm_control,humanoid-run,1,3207
sr_sac,dm_control,humanoid-stand,1,3184
sr_sac,dm_control,humanoid-walk,1,3213
sr_sac,dm_control,pendulum-swingup,1,2112
sr_sac,dm_control,quadruped-run,1,2959
sr_sac,dm_control,walker-run,1,2655
sr_sac,dm_control,finger-turn_hard,1,2404
sr_sac,metaworld,push-v2-goal-observable,0,2980
sr_sac,metaworld,sweep-v2-goal-observable,0,3008
sr_sac,metaworld,stick-pull-v2-goal-observable,0,3007
sr_sac,metaworld,hand-insert-v2-goal-observable,0,3024
sr_sac,metaworld,assembly-v2-goal-observable,0,2971
sr_sac,metaworld,reach-v2-goal-observable,0,2969
sr_sac,metaworld,coffee-push-v2-goal-observable,0,2987
sr_sac,metaworld,coffee-pull-v2-goal-observable,0,2977
sr_sac,metaworld,basketball-v2-goal-observable,0,2957
sr_sac,metaworld,hammer-v2-goal-observable,0,3029
sr_sac,metaworld,push-back-v2-goal-observable,0,2958
sr_sac,metaworld,pick-place-wall-v2-goal-observable,0,3023
sr_sac,metaworld,lever-pull-v2-goal-observable,0,2968
sr_sac,metaworld,disassemble-v2-goal-observable,0,3002
sr_sac,metaworld,button-press-v2-goal-observable,0,2944
sr_sac,metaworld,push-v2-goal-observable,1,2971
sr_sac,metaworld,sweep-v2-goal-observable,1,2943
sr_sac,metaworld,stick-pull-v2-goal-observable,1,2936
sr_sac,metaworld,hand-insert-v2-goal-observable,1,2952
sr_sac,metaworld,assembly-v2-goal-observable,1,2931
sr_sac,metaworld,reach-v2-goal-observable,1,2956
sr_sac,metaworld,coffee-push-v2-goal-observable,1,2928
sr_sac,metaworld,coffee-pull-v2-goal-observable,1,2926
sr_sac,metaworld,basketball-v2-goal-observable,1,2935
sr_sac,metaworld,hammer-v2-goal-observable,1,3018
sr_sac,metaworld,push-back-v2-goal-observable,1,2951
sr_sac,metaworld,pick-place-wall-v2-goal-observable,1,3007
sr_sac,metaworld,lever-pull-v2-goal-observable,1,2952
sr_sac,metaworld,disassemble-v2-goal-observable,1,2977
sr_sac,metaworld,button-press-v2-goal-observable,1,2948
sr_sac,myo,myo-reach,0,3119
sr_sac,myo,myo-reach-hard,0,3123
sr_sac,myo,myo-pose,0,3087
sr_sac,myo,myo-pose-hard,0,3088
sr_sac,myo,myo-obj-hold,0,3067
sr_sac,myo,myo-obj-hold-hard,0,3074
sr_sac,myo,myo-key-turn,0,3056
sr_sac,myo,myo-key-turn-hard,0,3008
sr_sac,myo,myo-pen-twirl,0,3008
sr_sac,myo,myo-pen-twirl-hard,0,3006
sr_sac,myo,myo-reach,1,3143
sr_sac,myo,myo-reach-hard,1,3146
sr_sac,myo,myo-pose,1,3057
sr_sac,myo,myo-pose-hard,1,3090
sr_sac,myo,myo-obj-hold,1,3089
sr_sac,myo,myo-obj-hold-hard,1,3080
sr_sac,myo,myo-key-turn,1,3004
sr_sac,myo,myo-key-turn-hard,1,3042
sr_sac,myo,myo-pen-twirl,1,2998
sr_sac,myo,myo-pen-twirl-hard,1,3009
td3,dm_control,acrobot_swingup,0,400
td3,dm_control,cheetah_run,0,405
td3,dm_control,dog_trot,0,711
td3,dm_control,dog_run,0,713
td3,dm_control,dog_walk,0,713
td3,dm_control,dog_stand,0,723
td3,dm_control,fish_swim,0,427
td3,dm_control,hopper_hop,0,413
td3,dm_control,humanoid_run,0,479
td3,dm_control,humanoid_stand,0,479
td3,dm_control,humanoid_walk,0,477
td3,dm_control,pendulum_swingup,0,401
td3,dm_control,quadruped_run,0,458
td3,dm_control,walker_run,0,429
td3,dm_control,finger_turn_hard,0,409
sac,dm_control,acrobot_swingup,0,865
sac,dm_control,cheetah_run,0,873
sac,dm_control,dog_trot,0,1155
sac,dm_control,dog_run,0,1191
sac,dm_control,dog_walk,0,1177
sac,dm_control,dog_stand,0,1169
sac,dm_control,fish_swim,0,919
sac,dm_control,hopper_hop,0,888
sac,dm_control,humanoid_run,0,974
sac,dm_control,humanoid_stand,0,972
sac,dm_control,humanoid_walk,0,962
sac,dm_control,pendulum_swingup,0,889
sac,dm_control,quadruped_run,0,947
sac,dm_control,walker_run,0,906
sac,dm_control,finger_turn_hard,0,899
td3,dm_control,acrobot_swingup,1,402
td3,dm_control,cheetah_run,1,401
td3,dm_control,dog_trot,1,702
td3,dm_control,dog_run,1,705
td3,dm_control,dog_walk,1,707
td3,dm_control,dog_stand,1,706
td3,dm_control,fish_swim,1,411
td3,dm_control,hopper_hop,1,421
td3,dm_control,humanoid_run,1,476
td3,dm_control,humanoid_stand,1,475
td3,dm_control,humanoid_walk,1,475
td3,dm_control,pendulum_swingup,1,389
td3,dm_control,quadruped_run,1,464
td3,dm_control,walker_run,1,427
td3,dm_control,finger_turn_hard,1,408
sac,dm_control,acrobot_swingup,1,878
sac,dm_control,cheetah_run,1,890
sac,dm_control,dog_trot,1,1167
sac,dm_control,dog_run,1,1179
sac,dm_control,dog_walk,1,1143
sac,dm_control,dog_stand,1,1167
sac,dm_control,fish_swim,1,909
sac,dm_control,hopper_hop,1,908
sac,dm_control,humanoid_run,1,975
sac,dm_control,humanoid_stand,1,956
sac,dm_control,humanoid_walk,1,968
sac,dm_control,pendulum_swingup,1,881
sac,dm_control,quadruped_run,1,948
sac,dm_control,walker_run,1,908
sac,dm_control,finger_turn_hard,1,906
td3,metaworld,push-v2,0,620
td3,metaworld,sweep-v2,0,614
td3,metaworld,stick-pull-v2,0,629
td3,metaworld,hand-insert-v2,0,621
td3,metaworld,assembly-v2,0,605
td3,metaworld,reach-v2,0,586
td3,metaworld,coffee-push-v2,0,624
td3,metaworld,coffee-pull-v2,0,621
td3,metaworld,basketball-v2,0,612
td3,metaworld,hammer-v2,0,611
td3,metaworld,push-back-v2,0,617
td3,metaworld,pick-place-wall-v2,0,621
td3,metaworld,lever-pull-v2,0,596
td3,metaworld,disassemble-v2,0,612
td3,metaworld,button-press-v2,0,600
sac,metaworld,push-v2,0,1083
sac,metaworld,sweep-v2,0,1101
sac,metaworld,stick-pull-v2,0,1113
sac,metaworld,hand-insert-v2,0,1103
sac,metaworld,assembly-v2,0,1082
sac,metaworld,reach-v2,0,1049
sac,metaworld,coffee-push-v2,0,1095
sac,metaworld,coffee-pull-v2,0,1121
sac,metaworld,basketball-v2,0,1053
sac,metaworld,hammer-v2,0,1097
sac,metaworld,push-back-v2,0,1094
sac,metaworld,pick-place-wall-v2,0,1096
sac,metaworld,lever-pull-v2,0,1046
sac,metaworld,disassemble-v2,0,1073
sac,metaworld,button-press-v2,0,1071
td3,metaworld,push-v2,1,622
td3,metaworld,sweep-v2,1,619
td3,metaworld,stick-pull-v2,1,634
td3,metaworld,hand-insert-v2,1,626
td3,metaworld,assembly-v2,1,618
td3,metaworld,reach-v2,1,587
td3,metaworld,coffee-push-v2,1,630
td3,metaworld,coffee-pull-v2,1,645
td3,metaworld,basketball-v2,1,607
td3,metaworld,hammer-v2,1,618
td3,metaworld,push-back-v2,1,627
td3,metaworld,pick-place-wall-v2,1,617
td3,metaworld,lever-pull-v2,1,588
td3,metaworld,disassemble-v2,1,605
td3,metaworld,button-press-v2,1,599
sac,metaworld,push-v2,1,1106
sac,metaworld,sweep-v2,1,1109
sac,metaworld,stick-pull-v2,1,1120
sac,metaworld,hand-insert-v2,1,1109
sac,metaworld,assembly-v2,1,1094
sac,metaworld,reach-v2,1,1067
sac,metaworld,coffee-push-v2,1,1109
sac,metaworld,coffee-pull-v2,1,1128
sac,metaworld,basketball-v2,1,1085
sac,metaworld,hammer-v2,1,1090
sac,metaworld,push-back-v2,1,1098
sac,metaworld,pick-place-wall-v2,1,1100
sac,metaworld,lever-pull-v2,1,1075
sac,metaworld,disassemble-v2,1,1079
sac,metaworld,button-press-v2,1,1076
td3,myo,myo-reach,0,615
td3,myo,myo-reach-hard,0,604
td3,myo,myo-pose,0,580
td3,myo,myo-pose-hard,0,582
td3,myo,myo-obj-hold,0,590
td3,myo,myo-obj-hold-hard,0,599
td3,myo,myo-key-turn,0,619
td3,myo,myo-key-turn-hard,0,608
td3,myo,myo-pen-twirl,0,556
td3,myo,myo-pen-twirl-hard,0,554
sac,myo,myo-reach,0,1164
sac,myo,myo-reach-hard,0,1146
sac,myo,myo-pose,0,1126
sac,myo,myo-pose-hard,0,1141
sac,myo,myo-obj-hold,0,1140
sac,myo,myo-obj-hold-hard,0,1134
sac,myo,myo-key-turn,0,1195
sac,myo,myo-key-turn-hard,0,1187
sac,myo,myo-pen-twirl,0,1101
sac,myo,myo-pen-twirl-hard,0,1118
td3,myo,myo-reach,1,578
td3,myo,myo-reach-hard,1,566
td3,myo,myo-pose,1,551
td3,myo,myo-pose-hard,1,585
td3,myo,myo-obj-hold,1,553
td3,myo,myo-obj-hold-hard,1,571
td3,myo,myo-key-turn,1,575
td3,myo,myo-key-turn-hard,1,580
td3,myo,myo-pen-twirl,1,505
td3,myo,myo-pen-twirl-hard,1,520
sac,myo,myo-reach,1,1043
sac,myo,myo-reach-hard,1,1052
sac,myo,myo-pose,1,1009
sac,myo,myo-pose-hard,1,1034
sac,myo,myo-obj-hold,1,1044
sac,myo,myo-obj-hold-hard,1,1054
sac,myo,myo-key-turn,1,1097
sac,myo,myo-key-turn-hard,1,1075
sac,myo,myo-pen-twirl,1,1022
sac,myo,myo-pen-twirl-hard,1,1020
tdmpc2,dm_control,acrobot-swingup,0,3512
tdmpc2,dm_control,cheetah-run,0,3498
tdmpc2,dm_control,dog-trot,0,4057
tdmpc2,dm_control,dog-run,0,4111
tdmpc2,dm_control,dog-walk,0,4147
tdmpc2,dm_control,dog-stand,0,4033
tdmpc2,dm_control,fish-swim,0,3474
tdmpc2,dm_control,hopper-hop,0,3452
tdmpc2,dm_control,humanoid-run,0,3950
tdmpc2,dm_control,humanoid-stand,0,3969
tdmpc2,dm_control,humanoid-walk,0,3968
tdmpc2,dm_control,pendulum-swingup,0,3495
tdmpc2,dm_control,quadruped-run,0,3545
tdmpc2,dm_control,walker-run,0,3500
tdmpc2,dm_control,finger-turn_hard,0,3519
tdmpc2,dm_control,acrobot-swingup,1,3514
tdmpc2,dm_control,cheetah-run,1,3488
tdmpc2,dm_control,dog-trot,1,4074
tdmpc2,dm_control,dog-run,1,4052
tdmpc2,dm_control,dog-walk,1,4118
tdmpc2,dm_control,dog-stand,1,4030
tdmpc2,dm_control,fish-swim,1,3444
tdmpc2,dm_control,hopper-hop,1,3471
tdmpc2,dm_control,humanoid-run,1,3920
tdmpc2,dm_control,humanoid-stand,1,3889
tdmpc2,dm_control,humanoid-walk,1,3897
tdmpc2,dm_control,pendulum-swingup,1,3455
tdmpc2,dm_control,quadruped-run,1,3522
tdmpc2,dm_control,walker-run,1,3484
tdmpc2,dm_control,finger-turn_hard,1,3488
tdmpc2,metaworld,mw-push,0,3648
tdmpc2,metaworld,mw-sweep,0,3633
tdmpc2,metaworld,mw-stick-pull,0,3701
tdmpc2,metaworld,mw-hand-insert,0,3679
tdmpc2,metaworld,mw-assembly,0,3675
tdmpc2,metaworld,mw-reach,0,3634
tdmpc2,metaworld,mw-coffee-push,0,3653
tdmpc2,metaworld,mw-coffee-pull,0,3655
tdmpc2,metaworld,mw-basketball,0,3571
tdmpc2,metaworld,mw-hammer,0,3668
tdmpc2,metaworld,mw-push-back,0,3629
tdmpc2,metaworld,mw-pick-place-wall,0,3566
tdmpc2,metaworld,mw-lever-pull,0,3575
tdmpc2,metaworld,mw-disassemble,0,3644
tdmpc2,metaworld,mw-button-press,0,3592
tdmpc2,metaworld,mw-push,1,3653
tdmpc2,metaworld,mw-sweep,1,3652
tdmpc2,metaworld,mw-stick-pull,1,3663
tdmpc2,metaworld,mw-hand-insert,1,3633
tdmpc2,metaworld,mw-assembly,1,3608
tdmpc2,metaworld,mw-reach,1,3597
tdmpc2,metaworld,mw-coffee-push,1,3702
tdmpc2,metaworld,mw-coffee-pull,1,3672
tdmpc2,metaworld,mw-basketball,1,3705
tdmpc2,metaworld,mw-hammer,1,3621
tdmpc2,metaworld,mw-push-back,1,3672
tdmpc2,metaworld,mw-pick-place-wall,1,3748
tdmpc2,metaworld,mw-lever-pull,1,3768
tdmpc2,metaworld,mw-disassemble,1,3642
tdmpc2,metaworld,mw-button-press,1,3699
tdmpc2,myo,myo-reach,0,7769
tdmpc2,myo,myo-reach-hard,0,7631
tdmpc2,myo,myo-pose,0,7841
tdmpc2,myo,myo-pose-hard,0,7614
tdmpc2,myo,myo-obj-hold,0,7659
tdmpc2,myo,myo-obj-hold-hard,0,7675
tdmpc2,myo,myo-key-turn,0,7643
tdmpc2,myo,myo-key-turn-hard,0,7534
tdmpc2,myo,myo-pen-twirl,0,7682
tdmpc2,myo,myo-pen-twirl-hard,0,7696
tdmpc2,myo,myo-reach,1,7599
tdmpc2,myo,myo-reach-hard,1,7412
tdmpc2,myo,myo-pose,1,7557
tdmpc2,myo,myo-pose-hard,1,7476
tdmpc2,myo,myo-obj-hold,1,7595
tdmpc2,myo,myo-obj-hold-hard,1,7495
tdmpc2,myo,myo-key-turn,1,7665
tdmpc2,myo,myo-key-turn-hard,1,7592
tdmpc2,myo,myo-pen-twirl,1,7534
tdmpc2,myo,myo-pen-twirl-hard,1,7546
